name,phone,email,remark,address,Product Name,Lead Interest,Lead Status,Lead Reference,State,Created By,Assigned To,usercode,createdon,isdeleted
Mrs. Teerth Ranganathan,2704439775,teerth.ranganathan683@mailserver.org,Information given. Price told Rs.33k. Client said that i will call you back after some time.,,Cell Track,Medium,Open,Marketing,Karnataka ,Sonal Athawale,Pravin Vhatkar,,10/6/2025,0
Mrs. Lohit Kumer,0620140684,lohit.kumer468@example.com,Information given. Price told Rs. 33k. Client said that he will callback for the same.,,SDR,High,Open,Marketing,Goa,Pravin Vhatkar,Sonal Athawale,,9/11/2025,0
Mrs. Benjamin Suri,8010901249,benjamin.suri54@mailserver.org,Information given price pitched 33k. Client said share me details on whats app he will let us know.,,"CDR Analysis Software,SDR",Medium,Open,Marketing,Tamil Nadu,Pravin Vhatkar,Sonal Athawale,,10/2/2025,0
Mr. Elijah Atwal,+914515345,elijah.atwal473@example.com,Information given price pitched 33k. Client said he will call back.,,"CDR Analysis Software,Cell Track",Medium,Open,Referral,Bihar & Jharkhand,Suraj Darade,Sonal Athawale,,9/17/2025,0
Ms. Azad Nanda,7014361422,azad.nanda286@business.in,Information given. Price told Rs.28k. Client said that send me quotation for the same.,,Cell Track,High,Open,Marketing,Karnataka ,Sonal Athawale,Suraj Darade,,9/9/2025,0
Ms. Daniel Nair,+910416627,daniel.nair405@mailserver.org,Information given price pitched 28k. Client said he will call back.,,SDR,Medium,Open,Webinar,Punjab,Pravin Vhatkar,Pravin Vhatkar,,9/28/2025,0
Ms. Ratta,4792474670,tanvi.ratta668@example.com,Information given price pitched 33 000. Client said he will let us know.,,CDR Analysis Software,Medium,Open,Marketing,Uttar Pradesh,Sonal Athawale,Pravin Vhatkar,,9/17/2025,0
Mr. Nihal Radhakrishnan,+915961048,nihal.radhakrishnan599@mailserver.org,Information given. Price told Rs. 18 000. Client said that he will callback for the same.,,SDR,Medium,Open,Website,Maharashtra ,Pravin Vhatkar,Sonal Athawale,,9/30/2025,0
Mrs. Hemani Ramakrishnan,+911189377,hemani.ramakrishnan633@mailserver.org,Information given. Price pitched 28k. The client said he will let us know.,,"CDR Analysis Software,Cell Track",High,Open,Webinar,Goa,Pravin Vhatkar,Pravin Vhatkar,,9/23/2025,0
Mr. Harsh Misra,+917910773,harsh.misra159@mailserver.org,Information given price pitched 33k. Client said he will call on next week.,,SDR,High,Open,Website,Goa,Pravin Vhatkar,Pravin Vhatkar,,10/3/2025,0
Mrs. Ranbir Master,4529342589,ranbir.master671@example.com,Information given price pitched 33 000. Client said he will call on next week.,,"CDR Analysis Software,Cell Track",High,Open,Website,Delhi & NCR,Sonal Athawale,Sonal Athawale,,10/5/2025,0
Ms. Loyal,+919897838,david.loyal24@business.in,Information given. Price pitched 28 000. The client said he will let us know.,,"CDR Analysis Software,Cell Track",Medium,Open,Website,Delhi & NCR,Pravin Vhatkar,Pravin Vhatkar,,9/28/2025,0
Mrs. Maanas Kakar,+910084822,maanas.kakar949@example.com,Information given. Price pitched 18 000. The client said he will let us know.,,SDR,High,Open,Webinar,Tamil Nadu,Pravin Vhatkar,Sonal Athawale,,9/14/2025,0
Mrs. Rout,+916863099,raghav.rout683@mailserver.org,Information given. Price told Rs. 33k. Client said that he will callback for the same.,,Cell Track,High,Open,Marketing,Punjab,Suraj Darade,Sonal Athawale,,10/8/2025,0
Mr. Aachal Sami,+914216815,aachal.sami315@business.in,Information given. Price pitched 28k. The client said he will let us know.,,SDR,Medium,Open,Webinar,Punjab,Sonal Athawale,Sonal Athawale,,10/3/2025,0
Mr. Nisha Tata,0312657922,nisha.tata967@business.in,Information given price pitched 18k. Client said share me details on whats app he will let us know.,,"CDR Analysis Software,Cell Track",Medium,Open,Referral,Tamil Nadu,Suraj Darade,Pravin Vhatkar,,9/25/2025,0
Mr. Gala,0437176115,janani.gala890@mailserver.org,Information given. Price told Rs.33k. Client said that send me quotation for the same.,,Cell Track,High,Open,Marketing,Punjab,Sonal Athawale,Suraj Darade,,9/14/2025,0
Mrs. Gopal Ganesan,+915877064,gopal.ganesan546@example.com,Information given price pitched 18k. Client said he will call on next week.,,Cell Track,Medium,Open,Webinar,Punjab,Pravin Vhatkar,Pravin Vhatkar,,9/13/2025,0
Mr. Jyoti Chandra,0720122042,jyoti.chandra771@business.in,Information given price pitched 28 000. Client said he will let us know.,,CDR Analysis Software,High,Open,Webinar,Uttar Pradesh,Sonal Athawale,Suraj Darade,,9/18/2025,0
Mr. Xavier Srinivasan,+914747168,xavier.srinivasan876@mailserver.org,Information given price pitched 28k. Client said he will call on next week.,,SDR,High,Open,Website,Uttar Pradesh,Suraj Darade,Suraj Darade,,9/22/2025,0
Ms. Vansha Shankar,6680880046,vansha.shankar639@mailserver.org,Information given. Price told Rs. 28 000. Client said that he will callback for the same.,,Cell Track,Medium,Open,Webinar,Gujarat,Sonal Athawale,Pravin Vhatkar,,10/2/2025,0
Mr. Radhika Keer,+919265770,radhika.keer426@example.com,Information given. Price told Rs.33 000. Client said that send me quotation for the same.,,CDR Analysis Software,Medium,Open,Referral,Karnataka ,Sonal Athawale,Sonal Athawale,,9/14/2025,0
Mr. Kabir Suri,0294681325,kabir.suri55@business.in,Information given. Price pitched 33k. The client said he will let us know.,,Cell Track,Medium,Open,Webinar,Bihar & Jharkhand,Suraj Darade,Sonal Athawale,,9/27/2025,0
Ms. Nidra Yadav,+914316388,nidra.yadav468@example.com,Information given. Price told Rs.33k. Client said that i will call you back after some time.,,"CDR Analysis Software,SDR",Medium,Open,Website,Goa,Pravin Vhatkar,Suraj Darade,,9/21/2025,0
Mr. Jai Chatterjee,0475432440,jai.chatterjee463@example.com,Information given. Price told Rs. 28 000. Client said that he will callback for the same.,,"CDR Analysis Software,Cell Track",Medium,Open,Marketing,Bihar & Jharkhand,Suraj Darade,Suraj Darade,,9/12/2025,0
Mrs. Warda Mutti,0131352079,warda.mutti289@example.com,Information given. Price told Rs. 28 000. Client said that he will callback for the same.,,"CDR Analysis Software,SDR",Medium,Open,Webinar,Karnataka ,Sonal Athawale,Pravin Vhatkar,,9/10/2025,0
Mr. Gautam Vasa,+919221434,gautam.vasa920@example.com,Information given. Price told Rs.18k. Client said that send me quotation for the same.,,SDR,High,Open,Marketing,Karnataka ,Pravin Vhatkar,Suraj Darade,,9/22/2025,0
Ms. Krish Pandya,9349182596,krish.pandya382@mailserver.org,Information given price pitched 18 000. Client said he will let us know.,,CDR Analysis Software,High,Open,Marketing,Gujarat,Sonal Athawale,Sonal Athawale,,9/15/2025,0
Mrs. Setty,8728588774,isaiah.setty371@business.in,Information given price pitched 18k. Client said he will call back.,,SDR,High,Open,Webinar,Tamil Nadu,Pravin Vhatkar,Sonal Athawale,,10/5/2025,0
Mrs. Vincent Wagle,0450007273,vincent.wagle178@example.com,Information given. Price told Rs.28k. Client said that send me quotation for the same.,,"CDR Analysis Software,SDR",Medium,Open,Referral,Maharashtra ,Suraj Darade,Pravin Vhatkar,,10/9/2025,0
Ms. Sachi Pai,0239487282,sachi.pai370@business.in,Information given price pitched 18k. Client said he will call on next week.,,SDR,High,Open,Webinar,Goa,Suraj Darade,Pravin Vhatkar,,9/18/2025,0
Mr. Tanish Vora,0945408496,tanish.vora225@mailserver.org,Information given price pitched 28 000. Client said he will call back.,,SDR,Medium,Open,Website,Uttar Pradesh,Sonal Athawale,Suraj Darade,,9/29/2025,0
Mr. Sudiksha Varty,+914257657,sudiksha.varty321@business.in,Information given. Price told Rs.28k. Client said that i will call you back after some time.,,"CDR Analysis Software,SDR",Medium,Open,Website,Uttar Pradesh,Suraj Darade,Pravin Vhatkar,,9/30/2025,0
Mr. Aarini Gole,6911120271,aarini.gole723@business.in,Information given price pitched 28 000. Client said share me details on whats app he will let us know.,,CDR Analysis Software,Medium,Open,Webinar,Delhi & NCR,Suraj Darade,Suraj Darade,,9/17/2025,0
Ms. Hitesh Sabharwal,0754527291,hitesh.sabharwal61@mailserver.org,Information given price pitched 33 000. Client said he will call on next week.,,"CDR Analysis Software,SDR",Medium,Open,Referral,Delhi & NCR,Sonal Athawale,Sonal Athawale,,10/6/2025,0
Mrs. Yochana Saxena,+912378161,yochana.saxena151@business.in,Information given price pitched 33 000. Client said he will call on next week.,,Cell Track,Medium,Open,Marketing,Maharashtra ,Pravin Vhatkar,Pravin Vhatkar,,9/30/2025,0
Ms. Yashasvi Lad,0198417635,yashasvi.lad173@business.in,Information given. Price told Rs.33 000. Client said that send me quotation for the same.,,CDR Analysis Software,Medium,Open,Webinar,Gujarat,Suraj Darade,Pravin Vhatkar,,9/24/2025,0
Mr. Nadig,0046162715,meera.nadig373@business.in,Information given. Price told Rs. 28k. Client said that he will callback for the same.,,"CDR Analysis Software,SDR",High,Open,Marketing,Karnataka ,Pravin Vhatkar,Sonal Athawale,,9/14/2025,0
Mr. Nadkarni,4479557271,manbir.nadkarni38@business.in,Information given. Price told Rs.28 000. Client said that send me quotation for the same.,,CDR Analysis Software,Medium,Open,Website,Delhi & NCR,Pravin Vhatkar,Sonal Athawale,,10/8/2025,0
Mr. Yashawini Chanda,+918529120,yashawini.chanda30@example.com,Information given price pitched 33k. Client said share me details on whats app he will let us know.,,"CDR Analysis Software,SDR",High,Open,Webinar,Tamil Nadu,Pravin Vhatkar,Sonal Athawale,,9/15/2025,0
Ms. Riya Dar,0112393479,riya.dar732@business.in,Information given price pitched 18k. Client said he will call on next week.,,SDR,High,Open,Webinar,Punjab,Pravin Vhatkar,Sonal Athawale,,9/25/2025,0
Mr. Oscar Bhavsar,8680368058,oscar.bhavsar53@example.com,Information given. Price pitched 33k. The client said he will let us know.,,CDR Analysis Software,High,Open,Website,Goa,Suraj Darade,Sonal Athawale,,9/30/2025,0
Mrs. Parth Dhar,7312036746,parth.dhar266@mailserver.org,Information given price pitched 28 000. Client said he will let us know.,,"CDR Analysis Software,SDR",High,Open,Website,Gujarat,Pravin Vhatkar,Pravin Vhatkar,,10/7/2025,0
Mrs. Lakshit Chacko,0374052576,lakshit.chacko637@business.in,Information given. Price pitched 33k. The client said he will let us know.,,"CDR Analysis Software,Cell Track",High,Open,Website,Karnataka ,Pravin Vhatkar,Pravin Vhatkar,,9/16/2025,0
Ms. Warinder Srivastava,1152676211,warinder.srivastava787@example.com,Information given. Price pitched 28 000. The client said he will let us know.,,CDR Analysis Software,High,Open,Webinar,Gujarat,Suraj Darade,Sonal Athawale,,9/28/2025,0
Ms. Anika Dyal,1412553724,anika.dyal908@example.com,Information given. Price pitched 28 000. The client said he will let us know.,,SDR,Medium,Open,Referral,Gujarat,Pravin Vhatkar,Suraj Darade,,10/2/2025,0
Mr. Korpal,0113055678,yasti.korpal293@mailserver.org,Information given. Price pitched 18 000. The client said he will let us know.,,SDR,High,Open,Marketing,Maharashtra ,Pravin Vhatkar,Suraj Darade,,9/17/2025,0
Ms. Ojas Chahal,+912504202,ojas.chahal425@mailserver.org,Information given price pitched 33k. Client said share me details on whats app he will let us know.,,"CDR Analysis Software,Cell Track",Medium,Open,Referral,Maharashtra ,Suraj Darade,Sonal Athawale,,9/21/2025,0
Mrs. Megha Sampath,0655313734,megha.sampath547@business.in,Information given. Price told Rs.18k. Client said that i will call you back after some time.,,SDR,Medium,Open,Website,Uttar Pradesh,Suraj Darade,Sonal Athawale,,9/19/2025,0
Ms. Boase,3480928759,william.boase311@example.com,Information given. Price told Rs. 18k. Client said that he will callback for the same.,,"CDR Analysis Software,SDR",Medium,Open,Website,Uttar Pradesh,Sonal Athawale,Pravin Vhatkar,,10/9/2025,0
Mr. David Das,+918994939,david.das13@example.com,Information given. Price pitched 28k. The client said he will let us know.,,SDR,High,Open,Webinar,Karnataka ,Suraj Darade,Sonal Athawale,,9/10/2025,0
Mrs. Ekiya Shankar,0605256513,ekiya.shankar35@business.in,Information given. Price told Rs.28 000. Client said that i will call you back after some time.,,SDR,High,Open,Webinar,Uttar Pradesh,Sonal Athawale,Sonal Athawale,,9/10/2025,0
Mr. Bhavika Chowdhury,3971652947,bhavika.chowdhury1@business.in,Information given price pitched 18 000. Client said he will let us know.,,"CDR Analysis Software,SDR",High,Open,Referral,Goa,Suraj Darade,Pravin Vhatkar,,9/22/2025,0
Mrs. Thomas Rajagopalan,+911435764,thomas.rajagopalan272@example.com,Information given price pitched 18k. Client said he will let us know.,,CDR Analysis Software,High,Open,Webinar,Bihar & Jharkhand,Suraj Darade,Pravin Vhatkar,,10/3/2025,0
Mr. Savant,0999518133,kashvi.savant935@mailserver.org,Information given price pitched 18 000. Client said he will call on next week.,,Cell Track,High,Open,Webinar,Punjab,Sonal Athawale,Suraj Darade,,9/11/2025,0
Mrs. Rishi Sodhi,+915862452,rishi.sodhi463@example.com,Information given price pitched 28 000. Client said he will call back.,,Cell Track,Medium,Open,Webinar,Bihar & Jharkhand,Pravin Vhatkar,Suraj Darade,,9/12/2025,0
Mrs. Apte,+916778325,krishna.apte793@business.in,Information given price pitched 33k. Client said share me details on whats app he will let us know.,,SDR,Medium,Open,Referral,Goa,Suraj Darade,Pravin Vhatkar,,9/21/2025,0
Mr. Mitesh Dutt,1840568882,mitesh.dutt222@example.com,Information given. Price told Rs. 28 000. Client said that he will callback for the same.,,"CDR Analysis Software,Cell Track",High,Open,Marketing,Goa,Sonal Athawale,Sonal Athawale,,9/18/2025,0
Ms. Shivansh Lad,0622568201,shivansh.lad843@business.in,Information given price pitched 28 000. Client said he will call back.,,"CDR Analysis Software,Cell Track",Medium,Open,Webinar,Punjab,Sonal Athawale,Suraj Darade,,9/21/2025,0
Mr. Harshil Din,0566111961,harshil.din978@example.com,Information given. Price pitched 18 000. The client said he will let us know.,,"CDR Analysis Software,Cell Track",Medium,Open,Webinar,Punjab,Sonal Athawale,Pravin Vhatkar,,9/29/2025,0
Mr. Vritti Nanda,+911172129,vritti.nanda606@mailserver.org,Information given. Price told Rs. 18 000. Client said that he will callback for the same.,,SDR,Medium,Open,Webinar,Punjab,Sonal Athawale,Suraj Darade,,9/15/2025,0
Ms. Babu,0727515784,sarthak.babu630@example.com,Information given. Price told Rs.28k. Client said that send me quotation for the same.,,SDR,High,Open,Webinar,Delhi & NCR,Pravin Vhatkar,Pravin Vhatkar,,9/13/2025,0
Mr. Tamanna Hayer,+919713996,tamanna.hayer289@example.com,Information given price pitched 33k. Client said share me details on whats app he will let us know.,,"CDR Analysis Software,Cell Track",Medium,Open,Marketing,Karnataka ,Sonal Athawale,Suraj Darade,,9/20/2025,0
Ms. Majumdar,0479674973,arin.majumdar448@business.in,Information given price pitched 18k. Client said he will call back.,,SDR,Medium,Open,Website,Bihar & Jharkhand,Sonal Athawale,Pravin Vhatkar,,9/24/2025,0
Mrs. Pranit Soni,0293044958,pranit.soni614@example.com,Information given price pitched 33 000. Client said share me details on whats app he will let us know.,,Cell Track,High,Open,Referral,Maharashtra ,Suraj Darade,Sonal Athawale,,9/13/2025,0
Mrs. Ishaan Uppal,+912175064,ishaan.uppal893@mailserver.org,Information given price pitched 18 000. Client said he will call back.,,SDR,High,Open,Referral,Uttar Pradesh,Suraj Darade,Suraj Darade,,9/27/2025,0
Ms. Arya Tank,0597669530,arya.tank981@example.com,Information given. Price told Rs. 33 000. Client said that he will callback for the same.,,SDR,Medium,Open,Webinar,Maharashtra ,Pravin Vhatkar,Sonal Athawale,,9/17/2025,0
Ms. Kevin Das,0517995201,kevin.das623@mailserver.org,Information given. Price told Rs. 33 000. Client said that he will callback for the same.,,Cell Track,Medium,Open,Website,Karnataka ,Sonal Athawale,Suraj Darade,,9/11/2025,0
Mr. Manthan Parmar,+912504392,manthan.parmar424@example.com,Information given price pitched 33k. Client said share me details on whats app he will let us know.,,SDR,High,Open,Webinar,Karnataka ,Suraj Darade,Pravin Vhatkar,,9/19/2025,0
Mrs. Krishna Johal,0016648048,krishna.johal940@example.com,Information given price pitched 33k. Client said he will let us know.,,"CDR Analysis Software,SDR",Medium,Open,Referral,Delhi & NCR,Pravin Vhatkar,Suraj Darade,,9/23/2025,0
Mrs. Victor Bhalla,0161158495,victor.bhalla248@mailserver.org,Information given price pitched 18 000. Client said share me details on whats app he will let us know.,,"CDR Analysis Software,Cell Track",Medium,Open,Marketing,Delhi & NCR,Sonal Athawale,Sonal Athawale,,9/27/2025,0
Mrs. Bhat,+912347237,advaith.bhat362@example.com,Information given. Price told Rs. 33 000. Client said that he will callback for the same.,,"CDR Analysis Software,Cell Track",Medium,Open,Website,Maharashtra ,Pravin Vhatkar,Sonal Athawale,,9/15/2025,0
Mr. Ravi,+912669002,vansha.ravi535@business.in,Information given price pitched 18 000. Client said he will call on next week.,,"CDR Analysis Software,Cell Track",Medium,Open,Website,Tamil Nadu,Sonal Athawale,Pravin Vhatkar,,9/20/2025,0
Mr. Ayaan Nagi,9286610439,ayaan.nagi384@mailserver.org,Information given price pitched 28k. Client said he will let us know.,,SDR,High,Open,Marketing,Maharashtra ,Sonal Athawale,Sonal Athawale,,9/27/2025,0
Ms. Manan Sridhar,6608421000,manan.sridhar904@business.in,Information given. Price told Rs. 28 000. Client said that he will callback for the same.,,"CDR Analysis Software,SDR",High,Open,Referral,Tamil Nadu,Pravin Vhatkar,Suraj Darade,,9/28/2025,0
Ms. Patrick Nanda,+914868615,patrick.nanda415@example.com,Information given price pitched 28 000. Client said he will let us know.,,Cell Track,Medium,Open,Referral,Goa,Sonal Athawale,Pravin Vhatkar,,9/20/2025,0
Mr. Sinha,0633408338,wakeeta.sinha37@business.in,Information given. Price told Rs.18k. Client said that send me quotation for the same.,,Cell Track,Medium,Open,Referral,Uttar Pradesh,Suraj Darade,Sonal Athawale,,9/19/2025,0
Mr. Udarsh Agarwal,+912590967,udarsh.agarwal63@example.com,Information given price pitched 18 000. Client said he will call back.,,"CDR Analysis Software,Cell Track",High,Open,Referral,Delhi & NCR,Pravin Vhatkar,Suraj Darade,,9/26/2025,0
Mrs. Bhanumati Sandhu,0274144061,bhanumati.sandhu203@example.com,Information given. Price told Rs.18k. Client said that i will call you back after some time.,,"CDR Analysis Software,SDR",High,Open,Marketing,Delhi & NCR,Pravin Vhatkar,Sonal Athawale,,9/22/2025,0
Mrs. Gautam Vohra,0612662496,gautam.vohra998@mailserver.org,Information given. Price told Rs.28 000. Client said that send me quotation for the same.,,SDR,High,Open,Website,Maharashtra ,Suraj Darade,Pravin Vhatkar,,9/20/2025,0
Ms. Tanay Khare,0194543398,tanay.khare221@example.com,Information given. Price pitched 18 000. The client said he will let us know.,,CDR Analysis Software,High,Open,Marketing,Uttar Pradesh,Pravin Vhatkar,Sonal Athawale,,9/25/2025,0
Mrs. Qushi Bansal,+914805536,qushi.bansal426@example.com,Information given price pitched 28k. Client said he will call on next week.,,Cell Track,Medium,Open,Marketing,Delhi & NCR,Pravin Vhatkar,Pravin Vhatkar,,9/13/2025,0
Mr. Amaira Bala,0236581840,amaira.bala950@example.com,Information given. Price told Rs.28 000. Client said that send me quotation for the same.,,Cell Track,Medium,Open,Referral,Maharashtra ,Suraj Darade,Pravin Vhatkar,,9/22/2025,0
Mrs. Shravya Grewal,+918783911,shravya.grewal830@business.in,Information given price pitched 28k. Client said share me details on whats app he will let us know.,,CDR Analysis Software,Medium,Open,Website,Punjab,Suraj Darade,Pravin Vhatkar,,9/19/2025,0
Ms. Narain,0640872881,rudra.narain747@mailserver.org,Information given price pitched 33k. Client said he will let us know.,,CDR Analysis Software,Medium,Open,Website,Tamil Nadu,Sonal Athawale,Pravin Vhatkar,,9/10/2025,0
Mr. Ishaan Jayaraman,0577769007,ishaan.jayaraman350@mailserver.org,Information given price pitched 18k. Client said he will call on next week.,,"CDR Analysis Software,SDR",High,Open,Marketing,Punjab,Sonal Athawale,Sonal Athawale,,9/9/2025,0
Ms. Ganga Cherian,1076675077,ganga.cherian184@business.in,Information given price pitched 18 000. Client said he will call on next week.,,"CDR Analysis Software,SDR",High,Open,Webinar,Delhi & NCR,Pravin Vhatkar,Sonal Athawale,,9/16/2025,0
Mrs. Harsh Chadha,3823611417,harsh.chadha690@example.com,Information given price pitched 18 000. Client said he will call on next week.,,"CDR Analysis Software,Cell Track",Medium,Open,Webinar,Punjab,Suraj Darade,Sonal Athawale,,9/22/2025,0
Mrs. Darpan Muni,+910512085,darpan.muni688@mailserver.org,Information given price pitched 18 000. Client said he will let us know.,,"CDR Analysis Software,Cell Track",High,Open,Referral,Punjab,Sonal Athawale,Pravin Vhatkar,,9/30/2025,0
Ms. Qadim Mangat,0470443014,qadim.mangat124@example.com,Information given price pitched 33 000. Client said share me details on whats app he will let us know.,,Cell Track,Medium,Open,Marketing,Karnataka ,Pravin Vhatkar,Suraj Darade,,9/13/2025,0
Mr. Darika Dugar,+913801523,darika.dugar984@mailserver.org,Information given price pitched 18k. Client said he will call on next week.,,SDR,Medium,Open,Referral,Bihar & Jharkhand,Pravin Vhatkar,Suraj Darade,,10/7/2025,0
Ms. Nandini Rattan,0005809360,nandini.rattan638@example.com,Information given. Price told Rs.18k. Client said that i will call you back after some time.,,Cell Track,High,Open,Webinar,Bihar & Jharkhand,Pravin Vhatkar,Suraj Darade,,10/5/2025,0
Ms. Wishi Rajan,5316199000,wishi.rajan126@example.com,Information given price pitched 33k. Client said he will call back.,,SDR,Medium,Open,Webinar,Goa,Suraj Darade,Pravin Vhatkar,,10/1/2025,0
Mrs. Benjamin Ravel,+911893542,benjamin.ravel351@example.com,Information given. Price told Rs.28k. Client said that i will call you back after some time.,,SDR,High,Open,Webinar,Goa,Suraj Darade,Suraj Darade,,10/1/2025,0
Mrs. Sachdev,2563975752,ishita.sachdev514@business.in,Information given price pitched 33k. Client said he will call on next week.,,"CDR Analysis Software,SDR",High,Open,Marketing,Goa,Suraj Darade,Suraj Darade,,9/18/2025,0
Mrs. Henry Upadhyay,8899343956,henry.upadhyay83@example.com,Information given price pitched 18k. Client said he will call on next week.,,SDR,Medium,Open,Website,Goa,Suraj Darade,Suraj Darade,,10/8/2025,0
Mrs. Nimrat Natt,7084334222,nimrat.natt614@example.com,Information given price pitched 18 000. Client said share me details on whats app he will let us know.,,"CDR Analysis Software,SDR",High,Open,Referral,Punjab,Pravin Vhatkar,Suraj Darade,,9/19/2025,0
Mrs. Maanav Viswanathan,0333380758,maanav.viswanathan674@mailserver.org,Information given price pitched 28 000. Client said he will let us know.,,"CDR Analysis Software,Cell Track",Medium,Open,Website,Delhi & NCR,Suraj Darade,Suraj Darade,,9/28/2025,0
Mr. Harsh Chakraborty,0435842952,harsh.chakraborty461@business.in,Information given price pitched 28k. Client said he will call on next week.,,SDR,High,Open,Website,Goa,Suraj Darade,Sonal Athawale,,9/26/2025,0
Mr. Gunbir Contractor,0988145878,gunbir.contractor632@example.com,Information given price pitched 28k. Client said he will call on next week.,,"CDR Analysis Software,SDR",Medium,Open,Webinar,Delhi & NCR,Sonal Athawale,Suraj Darade,,9/30/2025,0
Mrs. Dayita Bala,0332536613,dayita.bala226@example.com,Information given. Price told Rs. 18k. Client said that he will callback for the same.,,Cell Track,Medium,Open,Website,Gujarat,Sonal Athawale,Pravin Vhatkar,,9/17/2025,0
Mr. Gaurav Mukherjee,9137652070,gaurav.mukherjee56@mailserver.org,Information given price pitched 28k. Client said he will let us know.,,Cell Track,High,Open,Website,Uttar Pradesh,Suraj Darade,Pravin Vhatkar,,10/4/2025,0
Ms. Kurian,1030279197,ekantika.kurian262@example.com,Information given price pitched 18 000. Client said he will call back.,,"CDR Analysis Software,Cell Track",Medium,Open,Website,Gujarat,Suraj Darade,Sonal Athawale,,9/14/2025,0
Mrs. Nisha Gaba,+915497898,nisha.gaba84@mailserver.org,Information given. Price pitched 18k. The client said he will let us know.,,CDR Analysis Software,Medium,Open,Referral,Tamil Nadu,Pravin Vhatkar,Sonal Athawale,,9/11/2025,0
Ms. Pushti Tank,0866759915,pushti.tank181@business.in,Information given price pitched 28 000. Client said he will call on next week.,,"CDR Analysis Software,SDR",Medium,Open,Website,Karnataka ,Suraj Darade,Pravin Vhatkar,,10/1/2025,0
Mr. Upadhriti Seshadri,0552002172,upadhriti.seshadri185@example.com,Information given. Price pitched 28k. The client said he will let us know.,,SDR,Medium,Open,Referral,Tamil Nadu,Sonal Athawale,Suraj Darade,,9/27/2025,0
Mrs. Chaitaly Gokhale,0448810834,chaitaly.gokhale493@example.com,Information given. Price told Rs.18k. Client said that i will call you back after some time.,,CDR Analysis Software,Medium,Open,Marketing,Karnataka ,Suraj Darade,Pravin Vhatkar,,9/23/2025,0
Mr. Dipta Doctor,8494618954,dipta.doctor658@example.com,Information given price pitched 28k. Client said he will let us know.,,"CDR Analysis Software,SDR",Medium,Open,Marketing,Uttar Pradesh,Suraj Darade,Suraj Darade,,9/23/2025,0
Mr. Aahana Mangat,0708579992,aahana.mangat415@business.in,Information given price pitched 18 000. Client said he will call back.,,CDR Analysis Software,Medium,Open,Marketing,Tamil Nadu,Pravin Vhatkar,Sonal Athawale,,9/25/2025,0
Mr. Kaul,0268284137,ekaja.kaul167@example.com,Information given. Price told Rs.18k. Client said that send me quotation for the same.,,"CDR Analysis Software,Cell Track",Medium,Open,Referral,Goa,Pravin Vhatkar,Suraj Darade,,9/27/2025,0
Mrs. Sai Varghese,0502466154,sai.varghese17@mailserver.org,Information given. Price told Rs.18k. Client said that i will call you back after some time.,,SDR,High,Open,Website,Delhi & NCR,Pravin Vhatkar,Suraj Darade,,9/21/2025,0
